,time,body_number,area_scaled,perimeter_scaled,circularity,AR
4,Sun Mar 23 15:50:42 2025,9,8896.0,416.6173157302028,0.6440654540800929,1.6514574519765035
5,Sun Mar 23 15:50:42 2025,15,22912.0,719.2935059634514,0.5564941277742418,1.5941491362048386
7,Sun Mar 23 15:50:42 2025,3,41152.0,936.7148622007609,0.5893672361408051,1.1713002915729012
9,Sun Mar 23 15:50:42 2025,1,25792.0,762.891485709898,0.5568899087567167,1.2919998937057844
10,Sun Mar 23 15:50:42 2025,10,39552.0,925.401153701776,0.5803877533423705,1.5393011033703825
12,Sun Mar 23 15:50:42 2025,13,23680.0,865.5189027078676,0.39722671402372356,1.309390126166196
14,Sun Mar 23 15:50:42 2025,20,44864.0,930.891485709898,0.6505935296486115,1.5048377008471165
16,Sun Mar 23 15:50:42 2025,11,19840.0,864.9503602129438,0.3332492372700137,1.4885898437871032
25,Sun Mar 23 15:50:42 2025,7,32384.0,740.5483399593904,0.7420506149963693,1.075570901509472
29,Sun Mar 23 15:50:42 2025,8,20864.0,706.0386719675123,0.5259572661496134,1.6969377092303015
32,Sun Mar 23 15:50:42 2025,5,14784.0,1113.5189027078675,0.14983270847045782,1.393037052841513
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 18:10:57 2025,4,94016.0,1364.9301576774103,0.6341482157738689,1.2490522517879241
1,Sun Mar 23 18:10:57 2025,17,35840.0,852.5483399593904,0.6196405615010581,1.3355089169669205
2,Sun Mar 23 18:10:57 2025,15,24320.0,703.2935059634514,0.6178744261127722,1.6331161790260509
3,Sun Mar 23 18:10:57 2025,1,25600.0,695.0092347159894,0.6659914887098436,1.3095613934636825
4,Sun Mar 23 18:10:57 2025,3,33344.0,805.6366517139589,0.6455786058363211,1.0273787192607882
7,Sun Mar 23 18:10:57 2025,10,32192.0,944.9991334482229,0.4529966627219614,1.4240591950987924
9,Sun Mar 23 18:10:57 2025,13,37760.0,849.8031739553294,0.6570601855931031,1.0780541291158356
11,Sun Mar 23 18:10:57 2025,20,44224.0,893.6366517139589,0.6958985635325291,1.4486545757698317
12,Sun Mar 23 18:10:57 2025,7,32704.0,754.6072144624361,0.7217201524391422,1.0699339496624358
16,Sun Mar 23 18:10:57 2025,8,27584.0,845.3523804664972,0.48505562833072385,1.5898217192262016
19,Sun Mar 23 18:10:57 2025,5,30016.0,791.5777772109133,0.6019708953827236,1.1774146436702506
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 18:12:40 2025,4,94656.0,1341.498700172334,0.6609635338420402,1.2554085798726846
1,Sun Mar 23 18:12:40 2025,17,30976.0,783.0092347159894,0.6348943049554547,1.240953377791225
3,Sun Mar 23 18:12:40 2025,15,24768.0,696.6660889654818,0.6412855594189252,1.6269606120169822
4,Sun Mar 23 18:12:40 2025,1,25344.0,679.0092347159895,0.6907703089694534,1.2765901949662457
9,Sun Mar 23 18:12:40 2025,13,47936.0,1160.195092941116,0.4475170715803575,1.3130940727538614
12,Sun Mar 23 18:12:40 2025,10,24256.0,677.0681092190353,0.6649122451520364,1.1602329761972903
15,Sun Mar 23 18:12:40 2025,3,28480.0,746.6072144624361,0.6420450242306303,1.0727798277594391
18,Sun Mar 23 18:12:40 2025,20,43200.0,902.2051942088829,0.6669341635545597,1.4093575430274115
20,Sun Mar 23 18:12:40 2025,7,32448.0,747.9797974644666,0.7288162737112144,1.062183427280598
23,Sun Mar 23 18:12:40 2025,8,33088.0,885.6366517139588,0.5301139323426419,1.5207980862220103
25,Sun Mar 23 18:12:40 2025,5,35008.0,858.0874452027914,0.59746720075921,1.2725661033614302
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Sun Mar 23 18:12:56 2025,4,92032.0,1324.6458864299484,0.659096694740525,1.2328457580710594
2,Sun Mar 23 18:12:56 2025,17,40000.0,888.1463197058372,0.6372367504787887,1.4638567133567248
3,Sun Mar 23 18:12:56 2025,15,23744.0,741.920922961421,0.5420614343897701,1.6100739427794892
7,Sun Mar 23 18:12:56 2025,3,38080.0,838.4894654563448,0.680630775752085,1.0894054536591173
10,Sun Mar 23 18:12:56 2025,1,25792.0,743.5777772109133,0.5861949604571882,1.309324164878057
11,Sun Mar 23 18:12:56 2025,10,37696.0,915.1757569573599,0.5655827022414684,1.5605473340008178
15,Sun Mar 23 18:12:56 2025,13,28032.0,966.7737367038067,0.37688969300164854,1.249446600125081
